"","cellid","coretype","primary","secondary"
"1666","Y11041418","Core","Pvalb Cpne5","0"
"1667","Y11041419","Core","Pvalb Tacr3","0"
"1668","Y11041420","Core","Pvalb Rspo2","0"
"1669","Y11041421","Core","Pvalb Rspo2","0"
"1670","Y11041422","Core","Pvalb Gpx3","0"
"1671","Y11041423","Core","Pvalb Tacr3","0"
"1672","Y11041424","Core","Pvalb Gpx3","0"
"1673","Y11041425","Core","Pvalb Tacr3","0"
"1674","Z11041426","Core","Vip Chat","0"
"1675","Z11041427","Core","Vip Chat","0"
"1676","Z11041428","Core","Vip Chat","0"
"1677","Z11041429","Core","Vip Chat","0"
"1678","Z11041430","Core","Vip Chat","0"
"1679","Z11041431","Core","Vip Chat","0"
